strategy,arm,slice,metric,n_seeds,n_bootstraps_total,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half
drift_anchored,adversarial_p2b,dp_probe,recall_benign,3,6000,0.4106837606837607,0.051829991737322355,0.41075451770451776,0.34212454212454213,0.4565934065934066,0.057234432234432225
drift_anchored,adversarial_p2b,dp_probe,precision_phish,3,6000,0.22350871785428175,0.012659732400894706,0.22355327192175528,0.20638395572275786,0.23697669002371158,0.015296367150476858
drift_anchored,adversarial_p2b,dp_probe,precision_benign,3,6000,0.9814419023417816,0.0035024737809102153,0.9814641412268323,0.9738345648418937,0.988936158330511,0.007550796744308641
drift_anchored,adversarial_p2b,dp_probe,accuracy,3,6000,0.49258221807241415,0.04222847094375153,0.4926485112563544,0.4361967009025833,0.5309679427326486,0.04738562091503265
drift_anchored,adversarial_p2b,dp_probe,auc,3,6000,0.8710723828736251,0.007144416018751302,0.8710769015261252,0.8539098345581264,0.8869839563473105,0.01653706089459206
drift_anchored,clean_gt,pp_test,f1_weighted,3,6000,0.8742972431268446,0.006559983881805856,0.8741293043935996,0.8503269953120175,0.8982933111623855,0.023983157925184018
drift_anchored,clean_gt,pp_test,recall_phish,3,6000,0.8429693076374019,0.008654072557446216,0.8430795860099928,0.8072805139186295,0.877997858672376,0.035358672376873235
drift_anchored,clean_gt,pp_test,recall_benign,3,6000,0.9045671438309476,0.004722701588463212,0.9041612133605998,0.8752556237218814,0.9304703476482618,0.02760736196319019
drift_anchored,clean_gt,pp_test,precision_phish,3,6000,0.8940066367256421,0.005594702813639224,0.8937784679589752,0.8654708520179372,0.9216162965071094,0.028072722244586124
drift_anchored,clean_gt,pp_test,precision_benign,3,6000,0.8578069286089384,0.007319316210489807,0.8580180913740065,0.8292659519685408,0.8875507948955585,0.029142421463508872
drift_anchored,clean_gt,pp_test,accuracy,3,6000,0.8744769874476988,0.00653242468451719,0.8743232217573222,0.850418410041841,0.8985355648535565,0.024058577405857706
drift_anchored,clean_gt,pp_test,auc,3,6000,0.9369512574278671,0.0029127777038955053,0.936847773792894,0.9202794454443144,0.9525143083599356,0.016117431457810583
drift_anchored,clean_gt,kp_test,f1_weighted,3,6000,0.9789565600407113,0.0014642443542938535,0.9789489447312334,0.9712137257450292,0.9856052215414777,0.007195747898224247
drift_anchored,clean_gt,kp_test,recall_phish,3,6000,0.9752475247524752,0.0012376237623762387,0.9751443894389439,0.9641089108910891,0.9851485148514851,0.01051980198019803
drift_anchored,clean_gt,kp_test,recall_benign,3,6000,0.9819639278557114,0.0017355218512713898,0.9820345691382766,0.9729458917835672,0.9899799599198397,0.008517034068136253
drift_anchored,clean_gt,kp_test,precision_phish,3,6000,0.9776690108410625,0.0021263267851253523,0.9777777850585829,0.9667487684729064,0.9875311720698254,0.010391201798459537
drift_anchored,clean_gt,kp_test,precision_benign,3,6000,0.9799996536663204,0.0010096342799261855,0.9799379401956277,0.9710282467532467,0.9879396984924623,0.0084557258696078
drift_anchored,clean_gt,kp_test,accuracy,3,6000,0.9789590254706534,0.001464978577555105,0.9789519195275009,0.9712070874861573,0.9856035437430787,0.007198228128460715
drift_anchored,clean_gt,kp_test,auc,3,6000,0.9975710496901394,0.0006160662954128584,0.9975672580722501,0.9955032899958333,0.998911219716661,0.0017039648604138535
drift_anchored,clean_gt,dp_probe,f1_weighted,3,6000,0.29956378279083545,0.017583266346307407,0.2995722254205061,0.2777270025195148,0.3294092851867446,0.025841141333614898
drift_anchored,clean_gt,dp_probe,recall_phish,3,6000,0.9855072463768115,0.0010351966873705654,0.9855238095238095,0.9772256728778468,0.9927536231884058,0.00776397515527949
drift_anchored,clean_gt,dp_probe,recall_benign,3,6000,0.17704517704517705,0.014018269234682579,0.1770724358974359,0.15989010989010988,0.20091575091575092,0.020512820512820523
drift_anchored,clean_gt,dp_probe,precision_phish,3,6000,0.17485176306760428,0.00247755779520167,0.17486341904608915,0.1715686274509804,0.17934272300469484,0.003887047776857222
drift_anchored,clean_gt,dp_probe,precision_benign,3,6000,0.9856708845884313,0.0014709934142138358,0.9856896374796262,0.977296181630547,0.9929158716277097,0.007809844998581339
drift_anchored,clean_gt,dp_probe,accuracy,3,6000,0.2985786907355535,0.011906880695007104,0.2986043417366947,0.2838468720821662,0.3190164954870837,0.017584811702458764
drift_anchored,clean_gt,dp_probe,auc,3,6000,0.8724367190205699,0.0020962141656265974,0.8724419102033232,0.8590178998020613,0.8851961185812117,0.013089109389575193
drift_anchored,llm,pp_test,f1_weighted,3,6000,0.7875617196224342,0.006179105009220775,0.7875642786804243,0.7604883085074354,0.8150825459698209,0.027297118731192727
drift_anchored,llm,pp_test,recall_phish,3,6000,0.6109921484653819,0.013083727894235068,0.6112644539614561,0.563169164882227,0.6616702355460385,0.049250535331905765
drift_anchored,llm,pp_test,recall_benign,3,6000,0.970688479890934,0.004256985683979845,0.9705504430811179,0.9529652351738241,0.9856850715746421,0.016359918200408996
drift_anchored,llm,pp_test,precision_phish,3,6000,0.9522369471340958,0.006192020259212303,0.9521409224555425,0.925232055438998,0.976590579710145,0.025679262135573477
drift_anchored,llm,pp_test,precision_benign,3,6000,0.7232548235710325,0.006290938813180661,0.7235469516978671,0.6994013946819604,0.75,0.025299302659019807
drift_anchored,llm,pp_test,accuracy,3,6000,0.7949790794979079,0.005435305881492299,0.7950414923291491,0.7709205020920502,0.8200836820083682,0.02458158995815901
drift_anchored,llm,pp_test,auc,3,6000,0.9308075301165251,0.006524131004445715,0.9306930486403956,0.9107333499735071,0.9486826894023987,0.018974669714445835
drift_anchored,llm,kp_test,f1_weighted,3,6000,0.9800574257623667,0.0019975150842557366,0.9800154857569026,0.9723112104599669,0.9867109634551495,0.0071998764975912954
drift_anchored,llm,kp_test,recall_phish,3,6000,0.9731848184818482,0.0031146181663658234,0.9730825082508251,0.9603960396039604,0.9839108910891089,0.011757425742574268
drift_anchored,llm,kp_test,recall_benign,3,6000,0.9856379425517702,0.0023140291350285625,0.9856459585838343,0.9769539078156313,0.9929859719438878,0.008016032064128265
drift_anchored,llm,kp_test,precision_phish,3,6000,0.9821029155344276,0.002835412377553165,0.9821314639512495,0.9713930348258707,0.9912170639899623,0.009912014582045825
drift_anchored,llm,kp_test,precision_benign,3,6000,0.9784518577144397,0.0024536963105351536,0.9783911241808079,0.9685031612427756,0.9870259481037924,0.009261393430508413
drift_anchored,llm,kp_test,accuracy,3,6000,0.9800664451827243,0.001996429277665561,0.9800251015134736,0.9723145071982281,0.9867109634551495,0.007198228128460715
drift_anchored,llm,kp_test,auc,3,6000,0.997745490981964,0.0005843653609242663,0.9977433910725741,0.9958443805928688,0.9989930355761028,0.0015743274916169558
drift_anchored,llm,dp_probe,f1_weighted,3,6000,0.619499400611878,0.0033198160215341726,0.6195038770952987,0.607424924543112,0.6317023322091438,0.012138703833015907
drift_anchored,llm,dp_probe,recall_phish,3,6000,0.9313319530710835,0.015710907436621378,0.9313297101449275,0.9037267080745341,0.9585921325051759,0.027432712215320898
drift_anchored,llm,dp_probe,recall_benign,3,6000,0.4984737484737485,0.0019062875452986495,0.49850256410256405,0.48534798534798534,0.5122710622710622,0.013461538461538441
drift_anchored,llm,dp_probe,precision_phish,3,6000,0.2472933207892951,0.003790200411359815,0.2473254374281678,0.23939043193667786,0.2554947159972933,0.008052142030307713
drift_anchored,llm,dp_probe,precision_benign,3,6000,0.9762149255664934,0.00540199638319749,0.976218692231279,0.9669272267924541,0.985472506387121,0.009272639797333448
drift_anchored,llm,dp_probe,accuracy,3,6000,0.5635439360929557,0.003891482380643387,0.563568082788671,0.5507314036725801,0.5765639589169,0.012916277622159966
drift_anchored,llm,dp_probe,auc,3,6000,0.8782391291708062,0.0059705625352766455,0.8782463371227347,0.8619448425970164,0.8931455143372844,0.015600335870133986
drift_anchored,random_flip,pp_test,f1_weighted,3,6000,0.7443839498880113,0.03960246899110829,0.7443140198037667,0.6797842269518177,0.7986574864622005,0.05943662975519137
drift_anchored,random_flip,pp_test,recall_phish,3,6000,0.6445396145610278,0.08184802935167618,0.6447280513918628,0.5182012847965739,0.7301927194860813,0.10599571734475371
drift_anchored,random_flip,pp_test,recall_benign,3,6000,0.8466257668711656,0.024794183339431765,0.8463936605316973,0.7914110429447853,0.8875255623721882,0.04805725971370145
drift_anchored,random_flip,pp_test,precision_phish,3,6000,0.8001921621004936,0.023941242064656663,0.8002247938616465,0.7531154963201752,0.851754517320555,0.0493195105001899
drift_anchored,random_flip,pp_test,precision_benign,3,6000,0.7158555583097019,0.043075960973459504,0.7160550152380659,0.6497695852534562,0.7695099818511797,0.059870198298861754
drift_anchored,random_flip,pp_test,accuracy,3,6000,0.747907949790795,0.036371001361325754,0.7478812761506276,0.6882845188284519,0.8002092050209205,0.055962343096234324
drift_anchored,random_flip,pp_test,auc,3,6000,0.7523548035364748,0.0787647004649984,0.7524856135480207,0.6348856863852725,0.8257161843205774,0.09541524896765241
drift_anchored,random_flip,kp_test,f1_weighted,3,6000,0.9813521715331509,0.0031967296076109773,0.9813335739495578,0.9733910080775326,0.9889244841839868,0.007766738053227085
drift_anchored,random_flip,kp_test,recall_phish,3,6000,0.9756600660066006,0.0028581696494535953,0.9755794141914192,0.9628712871287128,0.9863861386138614,0.011757425742574268
drift_anchored,random_flip,kp_test,recall_benign,3,6000,0.9859719438877755,0.003471043702542844,0.9860045090180362,0.9769539078156313,0.9949899799599199,0.009018036072144298
