run_id,strategy,oracle,cumulative_llm_calls,cumulative_labels,pp_f1w
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,300,299,0.6344376712877267
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,350,349,0.6498207928405538
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,400,399,0.6442042936228833
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,450,449,0.6394370897161092
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,500,499,0.6600043483099175
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,550,549,0.6758980331758987
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,600,599,0.6984508955989036
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,650,649,0.7023600470314624
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,700,699,0.6990300111921175
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,750,748,0.7025926059356287
