run_id,strategy,oracle,round,kp_f1w,kp_recall_phish
drift_anchored_B_seed2025,drift_anchored,llm,19,0.9795039691291906,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,20,0.9789513486176784,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,21,0.9789513486176784,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,22,0.9789513486176784,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,23,0.9783987841760308,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,24,0.9783987841760308,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,25,0.9783987841760308,0.9727722772277227
drift_anchored_B_seed2026,drift_anchored,llm,0,0.9839355433715278,0.9777227722772276
drift_anchored_B_seed2026,drift_anchored,llm,1,0.984488503035581,0.9777227722772276
drift_anchored_B_seed2026,drift_anchored,llm,2,0.9855946063856262,0.9777227722772276
drift_anchored_B_seed2026,drift_anchored,llm,3,0.9850415236894482,0.9777227722772276
drift_anchored_B_seed2026,drift_anchored,llm,4,0.983376202648334,0.974009900990099
drift_anchored_B_seed2026,drift_anchored,llm,5,0.9833783919834148,0.9752475247524752
drift_anchored_B_seed2026,drift_anchored,llm,6,0.9828209284866776,0.9727722772277227
drift_anchored_B_seed2026,drift_anchored,llm,7,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,8,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,9,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,10,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,11,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,12,0.9817126012922696,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,13,0.9822655689743036,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,14,0.9811571670351976,0.9702970297029704
drift_anchored_B_seed2026,drift_anchored,llm,15,0.9811621775812034,0.9727722772277227
drift_anchored_B_seed2026,drift_anchored,llm,16,0.9806093825603956,0.9727722772277227
drift_anchored_B_seed2026,drift_anchored,llm,17,0.9800540703800976,0.9715346534653464
drift_anchored_B_seed2026,drift_anchored,llm,18,0.9789403631569856,0.9678217821782178
drift_anchored_B_seed2026,drift_anchored,llm,19,0.979495946903454,0.969059405940594
drift_anchored_B_seed2026,drift_anchored,llm,20,0.9789403631569856,0.9678217821782178
drift_anchored_B_seed2026,drift_anchored,llm,21,0.978945963178992,0.9702970297029704
drift_anchored_B_seed2026,drift_anchored,llm,22,0.978945963178992,0.9702970297029704
drift_anchored_B_seed2026,drift_anchored,llm,23,0.9794986732224982,0.9702970297029704
drift_anchored_B_seed2026,drift_anchored,llm,24,0.9794986732224982,0.9702970297029704
drift_anchored_B_seed2026,drift_anchored,llm,25,0.9794986732224982,0.9702970297029704
drift_anchored_B_seed2027,drift_anchored,llm,0,0.983933488407185,0.9764851485148516
drift_anchored_B_seed2027,drift_anchored,llm,1,0.983933488407185,0.9764851485148516
drift_anchored_B_seed2027,drift_anchored,llm,2,0.983933488407185,0.9764851485148516
drift_anchored_B_seed2027,drift_anchored,llm,3,0.9844864991845204,0.9764851485148516
drift_anchored_B_seed2027,drift_anchored,llm,4,0.984488503035581,0.9777227722772276
drift_anchored_B_seed2027,drift_anchored,llm,5,0.984488503035581,0.9777227722772276
drift_anchored_B_seed2027,drift_anchored,llm,6,0.984488503035581,0.9777227722772276
drift_anchored_B_seed2027,drift_anchored,llm,7,0.9844904674024998,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,8,0.9850453121218674,0.9801980198019802
drift_anchored_B_seed2027,drift_anchored,llm,9,0.9850453121218674,0.9801980198019802
